gene	genome	ec.num	gene.length
trach_836 	 2 	  	 1368 
trach_837 	 2 	  	 453 
trach_838 	 2 	  	 564 
trach_839 	 2 	  	 789 
trach_840 	 2 	  	 2400 
trach_842 	 2 	  	 213 
trach_844 	 2 	  	 630 
trach_845 	 2 	  	 156 
trach_848 	 2 	 1.6. 	 1296 
trach_849 	 2 	  	 345 
trach_850 	 2 	 2.1. 	 1191 
trach_851 	 2 	  	 564 
trach_852 	 2 	 1.3. 	 1275 
trach_853 	 2 	  	 2466 
trach_854 	 2 	 1.3. 	 1374 
trach_855 	 2 	 4.1. 	 1005 
trach_856 	 2 	 3.6. 	 3240 
trach_857 	 2 	 6.1. 	 2628 
trach_858 	 2 	  	 231 
trach_860 	 2 	  	 630 
trach_861 	 2 	  	 156 
trach_864 	 2 	  	 870 
trach_865 	 2 	 2.2. 	 2001 
trach_866 	 2 	  	 573 
trach_867 	 2 	  	 225 
trach_868 	 2 	  	 873 
trach_869 	 2 	  	 1539 
trach_871 	 2 	 6.3. 	 1353 
trach_872 	 2 	 2.7. 	 1011 
trach_873 	 2 	 6.3. 	 1251 
trach_874 	 2 	  	 738 
trach_875 	 2 	  	 1158 
trach_876 	 2 	 2.4. 	 867 
trach_877 	 2 	 6.3. 	 2409 
trach_878 	 2 	  	 420 
trach_879 	 2 	  	 807 
trach_880 	 2 	  	 333 
trach_881 	 2 	 2.5. 	 1020 
trach_882 	 2 	  	 1053 
trach_883 	 2 	  	 1689 
trach_884 	 2 	  	 360 
trach_885 	 2 	 2.3. 	 1257 
trach_886 	 2 	  	 453 
trach_887 	 2 	  	 630 
trach_888 	 2 	  	 1029 
trach_889 	 2 	 1.4. 	 1041 
trach_890 	 2 	  	 762 
trach_891 	 2 	  	 1614 
trach_892 	 2 	 3.6. 	 2262 
trach_893 	 2 	  	 690 
trach_894 	 2 	  	 495 
trach_895 	 2 	  	 114 
trach_896 	 2 	 6.1. 	 1434 
trach_897 	 2 	 6.1. 	 1581 
trach_898 	 2 	  	 1050 
trach_899 	 2 	 3.1. 	 210 
trach_900 	 2 	  	 138 
trach_901 	 2 	  	 132 
trach_902 	 2 	  	 138 
trach_903 	 2 	  	 306 
trach_904 	 2 	  	 501 
trach_905 	 2 	  	 186 
trach_906 	 2 	  	 495 
trach_907 	 2 	 3.1. 	 1797 
trach_908 	 2 	  	 2463 
trach_909 	 2 	 2.7. 	 1788 
trach_910 	 2 	  	 279 
trach_911 	 2 	  	 492 
trach_912 	 2 	 6.1. 	 3012 
trach_913 	 2 	  	 150 
trach_914 	 2 	 2.7. 	 603 
trach_915 	 2 	 2.4. 	 1425 
trach_916 	 2 	  	 135 
trach_918 	 2 	  	 558 
trach_919 	 2 	 3.1. 	 540 
trach_920 	 2 	  	 339 
trach_921 	 2 	  	 246 
trach_922 	 2 	  	 504 
trach_923 	 2 	  	 204 
trach_924 	 2 	 2.7. 	 867 
trach_925 	 2 	  	 1353 
trach_926 	 2 	  	 2871 
trach_927 	 2 	  	 996 
trach_928 	 2 	 3.1. 	 1539 
trach_929 	 2 	  	 429 
trach_930 	 2 	  	 966 
trach_931 	 2 	  	 4596 
trach_932 	 2 	  	 153 
trach_933 	 2 	  	 726 
trach_934 	 2 	  	 300 
trach_935 	 2 	  	 363 
trach_936 	 2 	 5.4. 	 1377 
trach_937 	 2 	 2.6. 	 1821 
trach_938 	 2 	  	 1197 
trach_939 	 2 	  	 126 
trach_940 	 2 	  	 1188 
trach_941 	 2 	  	 717 
trach_942 	 2 	  	 855 
trach_943 	 2 	 6.2. 	 1161 
trach_944 	 2 	 6.2. 	 876 
trach_945 	 2 	 3.4. 	 1491 
trach_946 	 2 	  	 2925 
trach_947 	 2 	  	 1284 
trach_948 	 2 	  	 792 
trach_949 	 2 	 1.17 	 3144 
trach_950 	 2 	 1.17 	 1041 
trach_952 	 2 	  	 675 
trach_953 	 2 	 1.1. 	 876 
trach_954 	 2 	  	 582 
trach_955 	 2 	  	 507 
trach_956 	 2 	  	 138 
trach_957 	 2 	  	 444 
trach_958 	 2 	  	 195 
trach_959 	 2 	  	 372 
trach_960 	 2 	 6.1. 	 1029 
trach_962 	 2 	  	 117 
trach_963 	 2 	  	 1101 
trach_964 	 2 	  	 1977 
trach_965 	 2 	  	 1065 
trach_966 	 2 	 6.3. 	 966 
trach_967 	 2 	 3.4. 	 2742 
trach_968 	 2 	 2.7. 	 2088 
trach_969 	 2 	  	 270 
trach_970 	 2 	  	 492 
trach_971 	 2 	  	 705 
trach_972 	 2 	  	 219 
trach_973 	 2 	  	 417 
trach_974 	 2 	  	 489 
trach_975 	 2 	  	 144 
trach_976 	 2 	  	 480 
trach_977 	 2 	  	 189 
trach_978 	 2 	 3.4. 	 876 
trach_979 	 2 	  	 1218 
trach_980 	 2 	  	 615 
trach_981 	 2 	  	 600 
trach_982 	 2 	  	 1770 
trach_983 	 2 	 4.2. 	 1392 
trach_984 	 2 	  	 1701 
trach_985 	 2 	  	 1155 
trach_986 	 2 	  	 123 
trach_987 	 2 	  	 1806 
trach_988 	 2 	 1.17 	 924 
trach_989 	 2 	  	 1482 
trach_990 	 2 	  	 1521 
trach_991 	 2 	  	 519 
trach_992 	 2 	  	 1449 
trach_994 	 2 	  	 903 
trach_995 	 2 	  	 306 
trach_996 	 2 	  	 156 
trach_997 	 2 	  	 990 
trach_998 	 2 	 2.4. 	 2217 
trach_999 	 2 	  	 501 
trach_1000 	 2 	 3.4. 	 1257 
trach_1001 	 2 	  	 2895 
trach_1003 	 2 	  	 3042 
trach_1004 	 2 	  	 3051 
trach_1005 	 2 	  	 303 
trach_1006 	 2 	  	 135 
trach_1007 	 2 	  	 2637 
trach_1008 	 2 	  	 144 
trach_1009 	 2 	  	 603 
coli_1 	 1 	 1.1. 	 2463 
coli_2 	 1 	 2.7. 	 933 
coli_3 	 1 	 4.2. 	 1287 
coli_4 	 1 	  	 228 
coli_5 	 1 	  	 777 
coli_6 	 1 	  	 894 
coli_7 	 1 	 2.2. 	 885 
coli_8 	 1 	  	 588 
coli_10 	 1 	  	 714 
coli_11 	 1 	  	 405 
coli_12 	 1 	  	 1917 
coli_13 	 1 	  	 1131 
coli_14 	 1 	  	 1113 
coli_15 	 1 	  	 1167 
coli_16 	 1 	  	 900 
coli_17 	 1 	  	 504 
coli_18 	 1 	  	 186 
coli_19 	 1 	 2.7. 	 942 
coli_20 	 1 	 6.1. 	 2817 
coli_21 	 1 	 3.4. 	 495 
coli_22 	 1 	 5.2. 	 450 
coli_23 	 1 	 1.17 	 951 
coli_24 	 1 	 3.2. 	 915 
coli_25 	 1 	 1.3. 	 822 
coli_26 	 1 	  	 138 
coli_27 	 1 	 6.3. 	 1149 
coli_28 	 1 	 6.3. 	 3222 
coli_29 	 1 	  	 180 
coli_30 	 1 	  	 396 
coli_31 	 1 	  	 591 
coli_32 	 1 	 4.2. 	 786 
coli_33 	 1 	  	 1554 
coli_34 	 1 	 2.8. 	 1218 
coli_35 	 1 	 1.3. 	 1143 
coli_36 	 1 	  	 1515 
coli_37 	 1 	  	 771 
coli_38 	 1 	  	 942 
coli_39 	 1 	  	 1287 
coli_40 	 1 	  	 288 
coli_41 	 1 	  	 1332 
coli_42 	 1 	  	 531 
coli_43 	 1 	  	 1863 
coli_44 	 1 	 1.5. 	 480 
coli_45 	 1 	 3.6. 	 843 
coli_46 	 1 	  	 252 
coli_47 	 1 	 2.1. 	 822 
coli_48 	 1 	 1.1. 	 990 
coli_49 	 1 	  	 1287 
coli_50 	 1 	  	 2322 
coli_51 	 1 	  	 816 
coli_52 	 1 	  	 651 
coli_53 	 1 	  	 159 
coli_54 	 1 	 5.4. 	 660 
coli_55 	 1 	 3.6. 	 2760 
coli_56 	 1 	 2.7. 	 2352 
coli_57 	 1 	 5.1. 	 696 
coli_58 	 1 	 5.3. 	 1503 
coli_59 	 1 	 2.7. 	 1701 
coli_60 	 1 	  	 879 
coli_62 	 1 	 3.6. 	 699 
coli_63 	 1 	  	 1611 
coli_64 	 1 	  	 984 
coli_65 	 1 	  	 1656 
coli_66 	 1 	  	 132 
coli_67 	 1 	  	 1179 
coli_68 	 1 	 4.2. 	 606 
coli_69 	 1 	 4.2. 	 1401 
coli_70 	 1 	 1.1. 	 1092 
coli_71 	 1 	 2.3. 	 1572 
coli_72 	 1 	  	 123 
coli_73 	 1 	  	 945 
coli_74 	 1 	 2.2. 	 1725 
coli_75 	 1 	 2.2. 	 492 
coli_76 	 1 	  	 1005 
coli_77 	 1 	  	 117 
coli_78 	 1 	  	 459 
coli_79 	 1 	 2.1. 	 942 
coli_80 	 1 	  	 366 
coli_81 	 1 	 2.4. 	 1767 
coli_82 	 1 	 6.3. 	 1488 
coli_83 	 1 	 6.3. 	 1359 
coli_84 	 1 	 2.7. 	 1083 
coli_85 	 1 	 6.3. 	 1317 
coli_86 	 1 	  	 1245 
coli_87 	 1 	 2.4. 	 1044 
coli_88 	 1 	 6.3. 	 1476 
coli_89 	 1 	 6.3. 	 921 
coli_90 	 1 	  	 831 
coli_91 	 1 	  	 1263 
coli_92 	 1 	  	 1152 
coli_93 	 1 	 3.5. 	 918 
coli_94 	 1 	  	 513 
coli_95 	 1 	  	 2706 
coli_96 	 1 	 3.6. 	 390 
coli_97 	 1 	  	 198 
coli_98 	 1 	  	 744 
coli_99 	 1 	 2.7. 	 621 
coli_100 	 1 	 1.7. 	 1044 
coli_101 	 1 	  	 1203 
coli_102 	 1 	  	 1386 
coli_103 	 1 	  	 441 
coli_104 	 1 	 2.4. 	 894 
coli_105 	 1 	 3.5. 	 552 
coli_106 	 1 	  	 855 
coli_107 	 1 	  	 1371 
coli_108 	 1 	  	 765 
coli_109 	 1 	 1.2. 	 2664 
coli_110 	 1 	 2.3. 	 1893 
coli_111 	 1 	 1.8. 	 1425 
coli_112 	 1 	  	 1854 
coli_113 	 1 	 4.2. 	 2520 
coli_114 	 1 	  	 363 
coli_115 	 1 	 4.1. 	 795 
coli_116 	 1 	 2.5. 	 867 
coli_117 	 1 	  	 348 
coli_118 	 1 	  	 1551 
coli_119 	 1 	 1.1. 	 2391 
coli_120 	 1 	 2.4. 	 537 
coli_121 	 1 	 4.2. 	 663 
coli_122 	 1 	  	 927 
coli_123 	 1 	  	 771 
coli_124 	 1 	  	 441 
coli_125 	 1 	  	 1230 
coli_126 	 1 	 4.1. 	 381 
coli_127 	 1 	  	 114 
coli_128 	 1 	  	 903 
coli_129 	 1 	 6.3. 	 852 
coli_130 	 1 	 2.1. 	 795 
coli_131 	 1 	  	 1239 
coli_132 	 1 	  	 597 
coli_133 	 1 	  	 603 
coli_134 	 1 	  	 384 
coli_135 	 1 	  	 126 
coli_136 	 1 	  	 2598 
coli_137 	 1 	  	 741 
coli_138 	 1 	  	 585 
coli_139 	 1 	 2.7. 	 480 
coli_140 	 1 	 2.7. 	 1365 
coli_141 	 1 	 6.1. 	 897 
coli_142 	 1 	  	 456 
coli_143 	 1 	  	 705 
coli_144 	 1 	 6.5. 	 531 
coli_145 	 1 	 3.6. 	 2475 
coli_146 	 1 	  	 2535 
coli_147 	 1 	  	 135 
coli_148 	 1 	  	 2244 
coli_149 	 1 	 3.6. 	 798 
coli_150 	 1 	  	 891 
coli_151 	 1 	  	 1983 
coli_152 	 1 	 5.4. 	 1281 
coli_153 	 1 	  	 1422 
coli_154 	 1 	  	 345 
coli_156 	 1 	  	 801 
coli_157 	 1 	 3.2. 	 699 
coli_158 	 1 	 3.1. 	 1518 
coli_159 	 1 	 3.4. 	 1425 
coli_160 	 1 	  	 1158 
coli_161 	 1 	  	 387 
coli_162 	 1 	  	 744 
coli_163 	 1 	 2.3. 	 825 
coli_164 	 1 	 2.7. 	 2673 
coli_165 	 1 	 3.4. 	 795 
coli_166 	 1 	  	 288 
coli_167 	 1 	  	 726 
coli_168 	 1 	  	 852 
coli_169 	 1 	 2.7. 	 726 
coli_170 	 1 	  	 558 
coli_171 	 1 	 1.1. 	 1197 
coli_172 	 1 	 2.5. 	 759 
coli_173 	 1 	 2.7. 	 153 
coli_174 	 1 	 2.7. 	 750 
coli_175 	 1 	 3.4. 	 1353 
coli_176 	 1 	  	 2433 
coli_177 	 1 	  	 486 
coli_178 	 1 	 2.3. 	 1026 
coli_179 	 1 	 4.2. 	 456 
coli_180 	 1 	 2.3. 	 789 
coli_181 	 1 	 2.4. 	 1149 
coli_182 	 1 	 3.1. 	 597 
coli_183 	 1 	 2.7. 	 3483 
coli_184 	 1 	 6.4. 	 960 
coli_185 	 1 	 4.1. 	 2142 
coli_186 	 1 	  	 390 
coli_187 	 1 	 6.3. 	 1299 
coli_188 	 1 	  	 255 
coli_189 	 1 	  	 201 
coli_190 	 1 	  	 546 
coli_191 	 1 	  	 423 
coli_193 	 1 	  	 825 
coli_194 	 1 	 6.1. 	 1719 
coli_195 	 1 	  	 708 
coli_196 	 1 	  	 354 
coli_197 	 1 	  	 816 
coli_198 	 1 	  	 654 
coli_199 	 1 	 3.6. 	 1032 
coli_200 	 1 	 3.1. 	 576 
coli_204 	 1 	  	 120 
coli_208 	 1 	  	 915 
coli_209 	 1 	 1.1. 	 804 
coli_210 	 1 	  	 801 
coli_211 	 1 	  	 624 
coli_212 	 1 	 4.2. 	 1221 
coli_213 	 1 	 3.1. 	 756 
coli_214 	 1 	  	 468 
coli_215 	 1 	  	 723 
coli_216 	 1 	 2.7. 	 732 
coli_218 	 1 	  	 786 
coli_219 	 1 	  	 195 
coli_220 	 1 	  	 771 
coli_221 	 1 	  	 447 
coli_222 	 1 	  	 2445 
coli_223 	 1 	 5.3. 	 579 
coli_224 	 1 	  	 741 
coli_225 	 1 	  	 768 
coli_226 	 1 	 3.1. 	 195 
coli_227 	 1 	  	 261 
coli_228 	 1 	  	 627 
coli_229 	 1 	  	 498 
coli_230 	 1 	  	 1740 
coli_231 	 1 	  	 771 
coli_232 	 1 	 2.7. 	 1056 
coli_233 	 1 	  	 294 
coli_234 	 1 	 3.1. 	 399 
coli_235 	 1 	  	 375 
coli_236 	 1 	  	 255 
coli_237 	 1 	  	 501 
coli_238 	 1 	  	 1458 
coli_239 	 1 	 2.4. 	 459 
coli_240 	 1 	  	 1245 
coli_241 	 1 	  	 402 
coli_242 	 1 	  	 1056 
coli_243 	 1 	 2.7. 	 1104 
coli_244 	 1 	 1.2. 	 1254 
coli_246 	 1 	  	 342 
coli_247 	 1 	  	 258 
coli_248 	 1 	  	 222 
coli_249 	 1 	  	 477 
coli_250 	 1 	  	 459 
coli_251 	 1 	  	 240 
coli_252 	 1 	  	 468 
coli_253 	 1 	  	 444 
coli_254 	 1 	  	 177 
coli_255 	 1 	  	 822 
coli_256 	 1 	  	 864 
coli_257 	 1 	  	 894 
coli_258 	 1 	  	 369 
coli_259 	 1 	  	 1152 
coli_260 	 1 	  	 426 
coli_261 	 1 	  	 1131 
coli_262 	 1 	  	 981 
coli_263 	 1 	  	 1404 
coli_264 	 1 	 2.1. 	 933 
coli_265 	 1 	  	 1047 
coli_266 	 1 	  	 363 
coli_267 	 1 	  	 504 
coli_268 	 1 	  	 339 
coli_269 	 1 	  	 282 
coli_270 	 1 	  	 1143 
coli_271 	 1 	  	 909 
coli_272 	 1 	  	 1968 
coli_273 	 1 	  	 1383 
coli_274 	 1 	 3.2. 	 1611 
coli_275 	 1 	  	 759 
coli_276 	 1 	 2.1. 	 1005 
coli_277 	 1 	  	 123 
coli_278 	 1 	  	 504 
coli_279 	 1 	  	 732 
coli_280 	 1 	  	 432 
coli_281 	 1 	  	 699 
coli_282 	 1 	  	 855 
coli_283 	 1 	  	 225 
coli_284 	 1 	  	 1326 
coli_286 	 1 	  	 957 
coli_287 	 1 	  	 2199 
coli_288 	 1 	  	 957 
coli_289 	 1 	  	 690 
coli_290 	 1 	  	 126 
coli_292 	 1 	  	 114 
coli_293 	 1 	  	 711 
coli_295 	 1 	  	 2526 
coli_296 	 1 	  	 669 
coli_297 	 1 	  	 588 
coli_298 	 1 	  	 543 
coli_299 	 1 	  	 141 
coli_300 	 1 	  	 264 
coli_301 	 1 	  	 888 
coli_302 	 1 	  	 300 
coli_303 	 1 	  	 471 
coli_304 	 1 	  	 867 
coli_306 	 1 	  	 237 
coli_307 	 1 	  	 1326 
coli_308 	 1 	  	 855 
coli_309 	 1 	  	 171 
coli_310 	 1 	  	 720 
coli_311 	 1 	  	 1428 
coli_312 	 1 	  	 696 
coli_313 	 1 	  	 669 
coli_314 	 1 	 1.1. 	 1671 
coli_315 	 1 	 1.2. 	 1473 
coli_316 	 1 	  	 588 
coli_317 	 1 	  	 2034 
coli_318 	 1 	 3.1. 	 1089 
coli_319 	 1 	  	 933 
coli_320 	 1 	  	 498 
coli_321 	 1 	  	 606 
coli_322 	 1 	  	 306 
coli_323 	 1 	  	 561 
coli_324 	 1 	  	 1548 
coli_325 	 1 	  	 1419 
coli_326 	 1 	  	 297 
coli_327 	 1 	 2.7. 	 951 
coli_328 	 1 	  	 1383 
coli_329 	 1 	  	 1050 
coli_330 	 1 	  	 816 
coli_331 	 1 	  	 171 
coli_333 	 1 	  	 633 
coli_334 	 1 	  	 276 
coli_335 	 1 	  	 1587 
coli_336 	 1 	  	 120 
coli_337 	 1 	 4.1. 	 891 
coli_338 	 1 	  	 1170 
coli_339 	 1 	 4.2. 	 1452 
coli_340 	 1 	 6.2. 	 1887 
coli_341 	 1 	  	 1260 
coli_342 	 1 	 3.5. 	 1284 
coli_343 	 1 	  	 900 
coli_344 	 1 	 4.2. 	 660 
coli_345 	 1 	 4.2. 	 471 
coli_346 	 1 	  	 1155 
coli_347 	 1 	 2.3. 	 612 
coli_348 	 1 	  	 1254 
coli_349 	 1 	 3.2. 	 3075 
coli_350 	 1 	  	 1083 
coli_351 	 1 	  	 834 
coli_352 	 1 	 1.14 	 1665 
coli_353 	 1 	 1.13 	 945 
coli_354 	 1 	 3.7. 	 867 
coli_355 	 1 	 4.2. 	 810 
coli_356 	 1 	 1.2. 	 951 
coli_357 	 1 	 4.1. 	 1014 
coli_358 	 1 	  	 1212 
coli_359 	 1 	  	 540 
coli_360 	 1 	 3.1. 	 834 
coli_361 	 1 	 1.1. 	 1110 
coli_362 	 1 	  	 276 
coli_363 	 1 	  	 774 
coli_364 	 1 	  	 444 
coli_365 	 1 	  	 366 
coli_366 	 1 	  	 906 
coli_367 	 1 	  	 1197 
coli_368 	 1 	  	 558 
coli_369 	 1 	  	 963 
coli_370 	 1 	  	 768 
coli_371 	 1 	  	 828 
coli_372 	 1 	 1.14 	 852 
coli_373 	 1 	 4.2. 	 975 
coli_374 	 1 	  	 156 
coli_375 	 1 	  	 1461 
coli_376 	 1 	  	 867 
coli_377 	 1 	  	 300 
coli_378 	 1 	  	 1404 
coli_379 	 1 	  	 1158 
coli_380 	 1 	  	 624 
coli_381 	 1 	  	 195 
coli_382 	 1 	  	 1221 
coli_383 	 1 	  	 1095 
coli_385 	 1 	  	 213 
coli_386 	 1 	 6.3. 	 1095 
coli_387 	 1 	  	 261 
coli_388 	 1 	 3.1. 	 1416 
coli_389 	 1 	  	 321 
coli_390 	 1 	  	 1116 
coli_391 	 1 	 1.5. 	 810 
coli_392 	 1 	  	 459 
coli_393 	 1 	 2.7. 	 468 
coli_394 	 1 	  	 192 
coli_395 	 1 	  	 678 
coli_396 	 1 	  	 285 
coli_397 	 1 	  	 120 
coli_398 	 1 	  	 216 
coli_399 	 1 	  	 912 
coli_400 	 1 	 2.7. 	 909 
coli_401 	 1 	  	 198 
coli_402 	 1 	  	 1185 
coli_403 	 1 	  	 3147 
coli_404 	 1 	  	 1203 
coli_405 	 1 	  	 690 
coli_406 	 1 	 2.7. 	 1296 
coli_407 	 1 	  	 150 
coli_408 	 1 	  	 1320 
coli_409 	 1 	  	 1374 
coli_410 	 1 	  	 1815 
coli_411 	 1 	  	 582 
coli_412 	 1 	 5.-. 	 1071 
coli_413 	 1 	 2.4. 	 1128 
coli_414 	 1 	  	 333 
coli_415 	 1 	  	 1815 
coli_416 	 1 	  	 972 
coli_417 	 1 	  	 348 
coli_418 	 1 	  	 885 
coli_420 	 1 	  	 324 
coli_421 	 1 	 3.5. 	 1104 
coli_422 	 1 	 6.3. 	 471 
coli_423 	 1 	  	 420 
coli_424 	 1 	 2.7. 	 978 
coli_425 	 1 	 3.1. 	 510 
coli_426 	 1 	  	 975 
coli_427 	 1 	 2.2. 	 1863 
coli_428 	 1 	 2.5. 	 900 
coli_429 	 1 	 3.1. 	 243 
coli_430 	 1 	 2.8. 	 1449 
coli_431 	 1 	  	 591 
coli_432 	 1 	 1.1. 	 912 
coli_433 	 1 	  	 492 
coli_434 	 1 	  	 1293 
coli_435 	 1 	 2.5. 	 888 
coli_436 	 1 	 1.10 	 276 
coli_437 	 1 	 1.10 	 615 
coli_438 	 1 	 1.10 	 1992 
coli_439 	 1 	 1.10 	 888 
coli_440 	 1 	  	 1476 
coli_441 	 1 	  	 579 
coli_442 	 1 	  	 315 
coli_443 	 1 	  	 189 
coli_444 	 1 	 5.2. 	 1299 
coli_445 	 1 	 3.4. 	 624 
coli_446 	 1 	  	 1275 
coli_447 	 1 	 3.4. 	 2355 
coli_448 	 1 	  	 273 
coli_449 	 1 	 5.2. 	 1872 
coli_450 	 1 	  	 372 
coli_451 	 1 	 3.1. 	 399 
coli_452 	 1 	  	 696 
coli_453 	 1 	  	 1701 
coli_454 	 1 	 3.6. 	 819 
coli_455 	 1 	  	 459 
coli_456 	 1 	  	 1773 
coli_457 	 1 	 3.6. 	 1782 
coli_458 	 1 	  	 141 
coli_459 	 1 	  	 339 
coli_460 	 1 	  	 1287 
coli_461 	 1 	 3.1. 	 861 
coli_462 	 1 	  	 558 
coli_463 	 1 	  	 312 
coli_464 	 1 	  	 354 
coli_465 	 1 	  	 1551 
coli_467 	 1 	 2.3. 	 552 
coli_468 	 1 	  	 219 
coli_469 	 1 	  	 375 
coli_470 	 1 	  	 3150 
coli_471 	 1 	  	 1086 
coli_472 	 1 	  	 648 
coli_473 	 1 	  	 3363 
coli_474 	 1 	  	 162 
coli_475 	 1 	  	 528 
coli_477 	 1 	 2.4. 	 552 
coli_478 	 1 	 2.7. 	 1863 
coli_479 	 1 	  	 330 
coli_480 	 1 	  	 606 
coli_481 	 1 	  	 1875 
coli_482 	 1 	  	 126 
coli_483 	 1 	 2.7. 	 645 
coli_484 	 1 	 3.1. 	 960 
coli_485 	 1 	 4.99 	 963 
coli_486 	 1 	 2.7. 	 1305 
coli_487 	 1 	  	 1677 
coli_488 	 1 	  	 1221 
coli_489 	 1 	 3.1. 	 1653 
coli_490 	 1 	  	 480 
coli_491 	 1 	  	 795 
coli_492 	 1 	  	 342 
coli_493 	 1 	 3.6. 	 2505 
coli_494 	 1 	 3.5. 	 933 
coli_495 	 1 	  	 1293 
coli_496 	 1 	  	 408 
coli_499 	 1 	  	 678 
coli_501 	 1 	  	 855 
coli_502 	 1 	  	 771 
coli_503 	 1 	  	 624 
coli_504 	 1 	  	 687 
coli_505 	 1 	  	 2415 
coli_506 	 1 	  	 4281 
coli_507 	 1 	  	 369 
coli_508 	 1 	  	 711 
coli_509 	 1 	  	 372 
coli_510 	 1 	 2.9. 	 1095 
coli_511 	 1 	  	 927 
coli_512 	 1 	 3.5. 	 483 
coli_513 	 1 	  	 771 
coli_514 	 1 	 4.1. 	 1782 
coli_515 	 1 	 5.3. 	 777 
coli_516 	 1 	 1.1. 	 879 
coli_517 	 1 	  	 1455 
coli_518 	 1 	 3.5. 	 1362 
coli_519 	 1 	  	 1302 
coli_520 	 1 	 2.7. 	 1146 
coli_521 	 1 	  	 786 
coli_522 	 1 	 3.5. 	 1236 
coli_523 	 1 	 1.1. 	 1050 
coli_524 	 1 	  	 1668 
coli_525 	 1 	  	 261 
coli_526 	 1 	  	 1002 
coli_527 	 1 	  	 816 
coli_528 	 1 	 2.7. 	 894 
coli_529 	 1 	 4.1. 	 1068 
coli_530 	 1 	 5.4. 	 510 
coli_531 	 1 	 3.6. 	 723 
coli_532 	 1 	 5.2. 	 495 
coli_533 	 1 	 6.1. 	 1386 
coli_535 	 1 	  	 213 
coli_536 	 1 	 3.5. 	 867 
coli_537 	 1 	  	 543 
coli_538 	 1 	  	 135 
coli_539 	 1 	  	 693 
coli_540 	 1 	  	 2604 
coli_541 	 1 	  	 969 
coli_542 	 1 	  	 198 
coli_543 	 1 	  	 633 
coli_544 	 1 	  	 156 
coli_546 	 1 	  	 1164 
coli_547 	 1 	 3.1. 	 198 
coli_548 	 1 	  	 213 
coli_549 	 1 	  	 300 
coli_550 	 1 	  	 867 
coli_551 	 1 	  	 333 
coli_552 	 1 	  	 150 
coli_553 	 1 	  	 1527 
coli_554 	 1 	  	 123 
coli_555 	 1 	  	 798 
coli_556 	 1 	  	 456 
coli_557 	 1 	  	 291 
coli_558 	 1 	 3.1. 	 363 
coli_559 	 1 	  	 138 
coli_560 	 1 	  	 384 
coli_561 	 1 	  	 981 
coli_562 	 1 	  	 1068 
coli_563 	 1 	  	 216 
coli_564 	 1 	  	 498 
coli_565 	 1 	  	 462 
coli_566 	 1 	  	 294 
coli_567 	 1 	  	 207 
coli_568 	 1 	  	 135 
coli_569 	 1 	  	 546 
coli_570 	 1 	  	 423 
coli_571 	 1 	  	 186 
coli_572 	 1 	  	 750 
coli_573 	 1 	 3.4. 	 954 
coli_574 	 1 	  	 762 
coli_575 	 1 	  	 891 
coli_576 	 1 	  	 2973 
coli_577 	 1 	  	 2238 
coli_578 	 1 	 2.7. 	 1443 
coli_579 	 1 	  	 684 
coli_580 	 1 	  	 156 
coli_581 	 1 	  	 1374 
coli_582 	 1 	  	 333 
coli_583 	 1 	  	 1224 
coli_584 	 1 	  	 3144 
coli_585 	 1 	  	 1377 
coli_586 	 1 	  	 1248 
coli_587 	 1 	 1.5. 	 654 
coli_588 	 1 	  	 369 
coli_589 	 1 	  	 249 
coli_590 	 1 	 6.3. 	 1119 
coli_591 	 1 	  	 153 
coli_592 	 1 	  	 1113 
coli_593 	 1 	  	 630 
coli_594 	 1 	  	 114 
coli_595 	 1 	  	 2241 
coli_596 	 1 	  	 132 
coli_597 	 1 	  	 1203 
coli_598 	 1 	  	 219 
coli_599 	 1 	  	 120 
coli_600 	 1 	 2.7. 	 3882 
coli_601 	 1 	  	 816 
coli_602 	 1 	  	 1134 
coli_603 	 1 	  	 993 
coli_604 	 1 	  	 1005 
coli_605 	 1 	  	 1251 
coli_606 	 1 	  	 957 
coli_607 	 1 	 5.4. 	 1176 
coli_608 	 1 	 2.7. 	 1611 
coli_609 	 1 	 3.3. 	 858 
coli_610 	 1 	 1.3. 	 747 
coli_611 	 1 	 3.1. 	 414 
coli_613 	 1 	  	 198 
coli_614 	 1 	  	 1089 
coli_615 	 1 	 2.6. 	 1161 
coli_616 	 1 	  	 618 
coli_617 	 1 	  	 1221 
coli_618 	 1 	  	 903 
coli_619 	 1 	  	 747 
coli_620 	 1 	 1.11 	 564 
coli_621 	 1 	  	 117 
coli_622 	 1 	 1.8. 	 1566 
coli_623 	 1 	  	 429 
coli_624 	 1 	  	 1239 
coli_625 	 1 	  	 189 
coli_626 	 1 	  	 411 
coli_627 	 1 	 3.1. 	 807 
coli_628 	 1 	  	 1431 
coli_629 	 1 	 2.7. 	 873 
coli_630 	 1 	 2.7. 	 552 
coli_631 	 1 	 2.8. 	 1533 
coli_632 	 1 	 4.1. 	 909 
coli_633 	 1 	 4.1. 	 297 
coli_634 	 1 	 6.2. 	 1059 
coli_635 	 1 	 2.7. 	 1659 
coli_636 	 1 	  	 681 
coli_637 	 1 	  	 1386 
coli_638 	 1 	  	 120 
coli_639 	 1 	  	 561 
coli_640 	 1 	  	 210 
coli_642 	 1 	  	 228 
coli_643 	 1 	  	 564 
coli_644 	 1 	  	 204 
coli_645 	 1 	 2.8. 	 966 
